CID,IsomericSMILES,Descriptors,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
3485,C(CC=O)CC=O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
3776,CC(C)O,"['alcohol', 'aquatic', 'animal']",1,1,1,0,0,0,0,0,0,0,0
3893,CCCCCCCCCCCC(=O)O,"['flower', 'aquatic', 'fruity']",0,0,1,0,1,1,0,0,0,0,0
4458,CC(=CCCC(=CCO)C)C,['flower'],0,0,0,0,1,0,0,0,0,0,0
4650,C1=CC(=O)C=CC1=O,['savory'],0,0,0,0,0,0,0,0,1,0,0
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,"['savory', 'aquatic', 'fruity']",0,0,1,0,0,1,0,0,1,0,0
5610,C1=CC(=CC=C1CCN)O,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
5634,C=CCCCCCCCCC(=O)O,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
5862,C([C@@H](C(=O)O)N)S,['savory'],0,0,0,0,0,0,0,0,1,0,0
5971,C=CCN=C=S,['savory'],0,0,0,0,0,0,0,0,1,0,0
6054,C1=CC=C(C=C1)CCO,"['flower', 'earthy', 'green', 'savory', 'aquatic']",0,0,1,1,1,0,1,0,1,0,0
6137,CSCC[C@@H](C(=O)O)N,['savory'],0,0,0,0,0,0,0,0,1,0,0
6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,['savory'],0,0,0,0,0,0,0,0,1,0,0
6268,C(C(C(=O)O)S)C(=O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
6276,CCCCCO,"['savory', 'alcohol']",1,0,0,0,0,0,0,0,1,0,0
6288,C[C@H]([C@@H](C(=O)O)N)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
6329,CN,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
6342,CC#N,['savory'],0,0,0,0,0,0,0,0,1,0,0
6354,C1CO1,"['aquatic', 'fruity']",0,0,1,0,0,1,0,0,0,0,0
