,descriptor_normalised,source,source_count
127,butterscotch,"{'sigma_2014', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
128,buttery,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
129,"buttery, fresh butter",{'dravnieks_1985'},1
130,cabbage,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'flavornet'}",5
131,cacao,{'goodscents'},1
132,cadaverous,{'dravnieks_1985'},1
133,camomile,"{'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
134,camphor,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
135,camphoraceous,"{'aromadb', 'arctander_1960', 'sigma_2014', 'ifra_2019'}",4
136,camphoreous,"{'leffingwell', 'goodscents'}",2
137,cananga,{'goodscents'},1
138,candy,{'goodscents'},1
139,cantaloupe,"{'sigma_2014', 'goodscents'}",2
140,"cantaloupe, honeydew melon",{'dravnieks_1985'},1
141,capers,{'goodscents'},1
142,caprylic,{'goodscents'},1
143,caramel,"{'sigma_2014', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",5
144,caramelic,"{'aromadb', 'arctander_1960', 'leffingwell', 'goodscents'}",4
145,caraway,"{'sigma_2014', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet'}",5
146,cardamom,{'goodscents'},1
147,cardboard,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
148,carnation,"{'aromadb', 'sigma_2014', 'goodscents'}",3
149,carrot,"{'aromadb', 'flavornet', 'ifra_2019', 'goodscents'}",4
150,carrot seed,{'goodscents'},1
151,carvone,{'goodscents'},1
152,cashew,{'goodscents'},1
153,cassie,{'goodscents'},1
154,castoreum,{'goodscents'},1
155,cat,{'flavornet'},1
156,cat urine,{'dravnieks_1985'},1
157,catechu,{'goodscents'},1
158,catty,"{'leffingwell', 'goodscents'}",2
159,cauliflower,{'goodscents'},1
160,cedar,"{'sigma_2014', 'goodscents'}",2
161,cedarwood,"{'dravnieks_1985', 'ifra_2019', 'goodscents'}",3
162,celery,"{'sigma_2014', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",5
163,cellar,{'goodscents'},1
164,cereal,{'goodscents'},1
165,chalky,{'dravnieks_1985'},1
166,characteristic,{'goodscents'},1
167,charred,{'goodscents'},1
168,chavicol,{'goodscents'},1
169,cheesy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",7
170,cheesy bleu cheese,{'goodscents'},1
171,cheesy feta cheese,{'goodscents'},1
172,cheesy limburger cheese,{'goodscents'},1
173,cheesy parmesan cheese,{'goodscents'},1
174,cheesy roquefort cheese,{'goodscents'},1
175,chemical,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
176,cherry,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'ifra_2019'}",5
177,cherry maraschino cherry,{'goodscents'},1
178,"cherry, berry",{'dravnieks_1985'},1
179,cherry-blossom,{'ifra_2019'},1
180,chervil,{'goodscents'},1
181,chicken,"{'leffingwell', 'goodscents'}",2
182,chicken coup,{'goodscents'},1
183,chicken fat,{'goodscents'},1
184,chicken roasted chicken,{'goodscents'},1
185,chicory,{'goodscents'},1
186,chlorine,{'goodscents'},1
187,chloroform,{'goodscents'},1
188,chocolate,"{'sigma_2014', 'leffingwell', 'goodscents', 'dravnieks_1985', 'ifra_2019'}",5
189,chocolate dark chocolate,{'goodscents'},1
190,chrysanthemum,{'goodscents'},1
191,cider,{'goodscents'},1
192,cilantro,{'goodscents'},1
193,cinnamon,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",7
194,cinnamyl,{'goodscents'},1
195,cistus,{'goodscents'},1
196,citral,{'goodscents'},1
197,citralva,{'goodscents'},1
198,citric,{'goodscents'},1
199,citronella,"{'ifra_2019', 'goodscents'}",2
200,citrus,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
201,citrus peel,{'goodscents'},1
202,citrus rind,{'goodscents'},1
203,civet,{'goodscents'},1
204,clam,{'goodscents'},1
205,clean,"{'ifra_2019', 'goodscents'}",2
206,cleaning fluid,{'dravnieks_1985'},1
207,cloth laundered cloth,{'goodscents'},1
208,clove,"{'sigma_2014', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",6
209,clover,{'goodscents'},1
210,coal,{'goodscents'},1
211,coco,{'arctander_1960'},1
212,cocoa,"{'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
213,coconut,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
214,coffee,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",7
215,coffee roasted coffee,{'goodscents'},1
216,cognac,"{'flavornet', 'leffingwell', 'goodscents'}",3
217,cologne,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
218,concord grape,{'goodscents'},1
219,cooked,{'goodscents'},1
220,cooked meat,{'flavornet'},1
221,cooked potato,{'flavornet'},1
222,cooked vegetable,"{'dravnieks_1985', 'flavornet'}",2
223,cookie,{'goodscents'},1
224,"cool,cooling",{'dravnieks_1985'},1
225,cooling,"{'ifra_2019', 'goodscents'}",2
226,coriander,"{'flavornet', 'ifra_2019', 'goodscents'}",3
227,cork,{'dravnieks_1985'},1
228,corn,"{'aromadb', 'sigma_2014', 'ifra_2019', 'goodscents'}",4
229,corn chip,{'goodscents'},1
230,cornmint,{'goodscents'},1
231,cortex,{'goodscents'},1
232,costus,{'goodscents'},1
233,cotton,{'goodscents'},1
234,cotton candy,"{'flavornet', 'goodscents'}",2
235,coumarin,"{'sigma_2014', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
236,coumarinic,"{'leffingwell', 'goodscents'}",2
237,cranberry,"{'sigma_2014', 'goodscents'}",2
238,creamy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
239,creosote,"{'dravnieks_1985', 'goodscents'}",2
240,cresol,{'goodscents'},1
241,crushed bug,{'flavornet'},1
242,crushed grass,{'dravnieks_1985'},1
243,crushed weeds,{'dravnieks_1985'},1
244,cucumber,"{'sigma_2014', 'leffingwell', 'goodscents', 'flavornet', 'ifra_2019'}",5
245,cucumber skin,{'goodscents'},1
246,cumin,"{'ifra_2019', 'goodscents'}",2
247,currant black currant,{'goodscents'},1
248,currant bud black currant bud,{'goodscents'},1
249,curry,"{'aromadb', 'flavornet'}",2
250,custard,{'goodscents'},1
251,cyclamen,"{'ifra_2019', 'goodscents'}",2
252,cypress,{'goodscents'},1
253,dairy,"{'aromadb', 'leffingwell', 'ifra_2019', 'goodscents'}",4
254,damascone,{'goodscents'},1
255,dank,{'goodscents'},1
256,date,{'goodscents'},1
257,davana,{'goodscents'},1
258,de,{'goodscents'},1
259,dead,{'goodscents'},1
260,deep,{'goodscents'},1
261,dewy,{'goodscents'},1
262,diffuse,{'goodscents'},1
263,dihydrojasmonate,{'goodscents'},1
264,dill,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
265,dirty,{'goodscents'},1
266,dirty linen,{'dravnieks_1985'},1
267,disagreeable,{'aromadb'},1
268,"disinfectant, carbolic",{'dravnieks_1985'},1
269,dried,{'goodscents'},1
270,dry,"{'leffingwell', 'ifra_2019', 'goodscents'}",3
271,"dry, powdery",{'dravnieks_1985'},1
272,dull,{'goodscents'},1
273,durian,{'goodscents'},1
274,dusty,"{'flavornet', 'goodscents'}",2
275,earthy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
276,egg nog,{'goodscents'},1
277,egg yolk,{'goodscents'},1
278,eggy,{'goodscents'},1
279,"eggy, fresh eggs",{'dravnieks_1985'},1
280,elderberry,{'goodscents'},1
281,elderflower,{'goodscents'},1
282,elemi,{'goodscents'},1
283,estery,"{'flavornet', 'goodscents'}",2
284,ether,"{'flavornet', 'goodscents'}",2
285,ethereal,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'ifra_2019'}",6
286,"etherish, anaesthetic",{'dravnieks_1985'},1
287,ethyl,{'goodscents'},1
288,eucalyptus,"{'dravnieks_1985', 'ifra_2019', 'goodscents'}",3
289,evil,{'goodscents'},1
290,faint,{'goodscents'},1
291,fat,{'flavornet'},1
292,fatty,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'ifra_2019'}",6
293,fecal,"{'flavornet', 'goodscents'}",2
294,"fecal, like manure",{'dravnieks_1985'},1
295,fennel,"{'sigma_2014', 'flavornet', 'goodscents'}",3
296,fenugreek,{'goodscents'},1
297,fermented,"{'aromadb', 'leffingwell', 'ifra_2019', 'goodscents'}",4
298,"fermented, rotten fruit",{'dravnieks_1985'},1
299,fig,{'goodscents'},1
300,filbert,{'goodscents'},1
301,fir needle,{'goodscents'},1
302,fishy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet'}",6
303,flat,{'goodscents'},1
304,fleshy,{'goodscents'},1
305,floral,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'ifra_2019'}",7
306,flowery,"{'flavornet', 'goodscents'}",2
307,foliage,"{'ifra_2019', 'goodscents'}",2
308,food like,{'ifra_2019'},1
309,forest,{'goodscents'},1
310,foxy,{'flavornet'},1
311,fragrant,"{'dravnieks_1985', 'goodscents'}",2
312,frankincense,{'goodscents'},1
313,freesia,{'goodscents'},1
314,fresh,"{'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
315,fresh green vegetables,{'dravnieks_1985'},1
316,fresh outdoors,{'goodscents'},1
317,fresh tobacco smoke,{'dravnieks_1985'},1
318,freshly,{'goodscents'},1
319,fried,"{'flavornet', 'goodscents'}",2
320,fried chicken,{'dravnieks_1985'},1
321,fruit dried fruit,{'goodscents'},1
