,descriptor_normalised,source,source_count
519,old,{'goodscents'},1
520,onion,"{'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
521,onion cooked onion,{'goodscents'},1
522,onion green onion,{'goodscents'},1
523,opoponax,{'goodscents'},1
524,orange,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
525,orange bitter orange,{'goodscents'},1
526,orange blossom,"{'aromadb', 'arctander_1960'}",2
527,orange peel,"{'flavornet', 'goodscents'}",2
528,orange rind,{'goodscents'},1
529,orangeflower,{'goodscents'},1
530,orchid,{'goodscents'},1
531,oriental,{'goodscents'},1
532,orris,"{'leffingwell', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",5
533,osmanthus,"{'ifra_2019', 'goodscents'}",2
534,oxide,{'goodscents'},1
535,ozone,{'goodscents'},1
536,ozonic,{'ifra_2019'},1
537,painty,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
538,palmarosa,{'goodscents'},1
539,papaya,{'goodscents'},1
540,paper,"{'flavornet', 'goodscents'}",2
541,parsley,{'goodscents'},1
542,passion fruit,{'goodscents'},1
543,pastry,{'goodscents'},1
544,patchouli,"{'ifra_2019', 'goodscents'}",2
545,pea,{'flavornet'},1
546,pea green pea,{'goodscents'},1
547,peach,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
548,peach fruit,{'dravnieks_1985'},1
549,peanut,"{'sigma_2014', 'ifra_2019', 'goodscents'}",3
550,peanut butter,"{'aromadb', 'dravnieks_1985', 'flavornet', 'goodscents'}",4
551,peanut roasted peanut,{'goodscents'},1
552,pear,"{'sigma_2014', 'leffingwell', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
553,pear skin,{'goodscents'},1
554,peely,{'goodscents'},1
555,peony,{'goodscents'},1
556,pepper bell pepper,{'goodscents'},1
557,pepper black pepper,{'goodscents'},1
558,peppermint,"{'flavornet', 'ifra_2019', 'goodscents'}",3
559,peppery,"{'sigma_2014', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",6
560,perfumery,{'dravnieks_1985'},1
561,pesticide,{'flavornet'},1
562,petal,{'goodscents'},1
563,petitgrain,"{'ifra_2019', 'goodscents'}",2
564,petroleum,"{'aromadb', 'goodscents'}",2
565,phenol,{'flavornet'},1
566,phenolic,"{'arctander_1960', 'leffingwell', 'ifra_2019', 'goodscents'}",4
567,pine,"{'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",6
568,pineapple,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
569,pistachio,{'goodscents'},1
570,plastic,"{'sigma_2014', 'flavornet', 'ifra_2019', 'goodscents'}",4
571,pleasant,{'goodscents'},1
572,plowed,{'goodscents'},1
573,plum,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
574,plum skin,{'goodscents'},1
575,pomegranate,{'goodscents'},1
576,popcorn,"{'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",6
577,pork,{'goodscents'},1
578,potato,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",6
579,potato baked potato,{'goodscents'},1
580,potato chip,{'goodscents'},1
581,potato raw potato,{'goodscents'},1
582,powdery,"{'arctander_1960', 'ifra_2019', 'goodscents'}",3
583,powerful,"{'ifra_2019', 'goodscents'}",2
584,praline,{'goodscents'},1
585,privet,{'goodscents'},1
586,privetblossom,{'goodscents'},1
587,prune,"{'flavornet', 'goodscents'}",2
588,pulpy,{'goodscents'},1
589,pumpkin,{'goodscents'},1
590,pungent,"{'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
591,putrid,{'flavornet'},1
592,"putrid, foul, decayed",{'dravnieks_1985'},1
593,pyrazine,{'goodscents'},1
594,pyridine,{'goodscents'},1
595,quince,"{'sigma_2014', 'goodscents'}",2
596,radish,"{'leffingwell', 'goodscents'}",2
597,raisin,"{'dravnieks_1985', 'goodscents'}",2
598,rancid,"{'aromadb', 'dravnieks_1985', 'flavornet', 'goodscents'}",4
599,raspberry,"{'sigma_2014', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
600,raw,{'goodscents'},1
601,raw cucumber,{'dravnieks_1985'},1
602,raw potato,{'dravnieks_1985'},1
603,red,{'goodscents'},1
604,red berry,{'aromadb'},1
605,reseda,{'goodscents'},1
606,resin,"{'flavornet', 'goodscents'}",2
607,resinous,"{'aromadb', 'goodscents'}",2
608,rhubarb,"{'ifra_2019', 'goodscents'}",2
609,rich,{'goodscents'},1
610,rindy,{'goodscents'},1
611,ripe,"{'leffingwell', 'goodscents'}",2
612,roast,"{'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
613,roast beef,{'flavornet'},1
614,roasted meat,{'flavornet'},1
615,roasted nut,{'flavornet'},1
616,root beer,{'goodscents'},1
617,rooty,"{'arctander_1960', 'ifra_2019', 'goodscents'}",3
618,rope,{'dravnieks_1985'},1
619,rose dried rose,{'goodscents'},1
620,rose red rose,{'goodscents'},1
621,rose tea rose,{'goodscents'},1
622,rosemary,"{'ifra_2019', 'goodscents'}",2
623,rosy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
624,rotten,{'goodscents'},1
625,rotting,{'goodscents'},1
626,rubbery,"{'flavornet', 'ifra_2019', 'goodscents'}",3
627,rue,{'goodscents'},1
628,rum,"{'sigma_2014', 'leffingwell', 'ifra_2019', 'goodscents'}",4
629,rummy,{'goodscents'},1
630,saffron,"{'ifra_2019', 'goodscents'}",2
631,sage,"{'sigma_2014', 'ifra_2019', 'goodscents'}",3
632,sage clary sage,{'goodscents'},1
633,salmon,{'goodscents'},1
634,salty,"{'aromadb', 'goodscents'}",2
635,sandalwood,"{'arctander_1960', 'ifra_2019', 'goodscents'}",3
636,sandy,{'goodscents'},1
637,sappy,{'goodscents'},1
638,sarsaparilla,{'goodscents'},1
639,sassafras,"{'aromadb', 'goodscents'}",2
640,sauerkraut,"{'dravnieks_1985', 'goodscents'}",2
641,sausage smoked sausage,{'goodscents'},1
642,savoury,"{'aromadb', 'leffingwell', 'ifra_2019', 'goodscents'}",4
643,sawdust,{'goodscents'},1
644,scallion,{'goodscents'},1
645,seafood,{'goodscents'},1
646,seashore,{'goodscents'},1
647,seasoning for meat,{'dravnieks_1985'},1
648,seaweed,"{'aromadb', 'flavornet', 'goodscents'}",3
649,seedy,"{'sigma_2014', 'goodscents'}",2
650,"seminal, sperm-like",{'dravnieks_1985'},1
651,sewer,{'dravnieks_1985'},1
652,sharp,"{'flavornet', 'leffingwell', 'ifra_2019', 'goodscents'}",4
653,"sharp, pungent, acid",{'dravnieks_1985'},1
654,shell,{'goodscents'},1
655,shellfish,{'goodscents'},1
656,shrimp,{'goodscents'},1
657,sickening,{'dravnieks_1985'},1
658,skin,{'goodscents'},1
659,skunk,{'goodscents'},1
660,slight,{'goodscents'},1
661,smelling,{'goodscents'},1
662,smoky,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
663,soapy,"{'sigma_2014', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",5
664,soft,"{'ifra_2019', 'goodscents'}",2
665,soil,{'goodscents'},1
666,solvent,"{'flavornet', 'leffingwell', 'goodscents'}",3
667,sooty,{'dravnieks_1985'},1
668,soupy,"{'dravnieks_1985', 'goodscents'}",2
669,sour,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
670,sour milk,{'dravnieks_1985'},1
671,"sour, vinegar",{'dravnieks_1985'},1
672,soy,{'flavornet'},1
673,spearmint,"{'aromadb', 'flavornet', 'ifra_2019', 'goodscents'}",4
674,spice,"{'flavornet', 'goodscents'}",2
675,spicy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'ifra_2019'}",7
676,spinach,{'goodscents'},1
677,spruce,{'goodscents'},1
678,stale,{'dravnieks_1985'},1
679,stale tobacco smoke,{'dravnieks_1985'},1
680,stalk,{'goodscents'},1
681,starfruit,{'goodscents'},1
682,storax,{'goodscents'},1
683,straw,"{'flavornet', 'goodscents'}",2
684,strawberry,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",7
685,strong,{'goodscents'},1
686,styrene,{'goodscents'},1
687,sugar,{'goodscents'},1
688,sugar brown sugar,{'goodscents'},1
689,sugar burnt sugar,{'goodscents'},1
690,sulfidic,{'dravnieks_1985'},1
691,sulfuraceous,{'arctander_1960'},1
692,sulfurous,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'ifra_2019'}",5
693,sulfury,"{'flavornet', 'goodscents'}",2
694,sweaty,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
695,sweet,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",7
696,sweet pea,"{'ifra_2019', 'goodscents'}",2
697,taco,{'goodscents'},1
698,tagette,{'goodscents'},1
699,tallow,"{'aromadb', 'flavornet', 'goodscents'}",3
700,tangerine,"{'ifra_2019', 'goodscents'}",2
701,tar,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
702,tarragon,"{'ifra_2019', 'goodscents'}",2
703,tarry,"{'aromadb', 'arctander_1960'}",2
704,tart,"{'sigma_2014', 'goodscents'}",2
705,tart lime,{'flavornet'},1
706,tea,"{'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",6
707,tea black tea,{'goodscents'},1
708,tea green tea,{'goodscents'},1
709,tea leaves,{'dravnieks_1985'},1
710,tenacious,{'aromadb'},1
711,tequila,{'goodscents'},1
712,terpene,{'goodscents'},1
713,terpenic,"{'ifra_2019', 'goodscents'}",2
714,terpineol,{'aromadb'},1
715,thiamine,"{'flavornet', 'goodscents'}",2
716,thujone,{'goodscents'},1
717,thujonic,{'goodscents'},1
718,thyme,"{'flavornet', 'goodscents'}",2
719,toasted,{'goodscents'},1
720,tobacco,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
721,tobacco like,{'ifra_2019'},1
722,toffee,{'goodscents'},1
723,tolu balsam,{'goodscents'},1
724,tomato,"{'flavornet', 'leffingwell', 'goodscents'}",3
725,tomato leaf,"{'flavornet', 'goodscents'}",2
726,tonka,"{'ifra_2019', 'goodscents'}",2
727,tropical,"{'sigma_2014', 'leffingwell', 'goodscents'}",3
728,tropical-fruit,{'ifra_2019'},1
729,truffle,"{'flavornet', 'goodscents'}",2
730,tuberose,"{'ifra_2019', 'goodscents'}",2
731,turkey,{'goodscents'},1
732,turnup,{'goodscents'},1
733,turpentine,"{'aromadb', 'sigma_2014', 'flavornet', 'goodscents'}",4
734,"turpentine, pine oil",{'dravnieks_1985'},1
735,tutti frutti,{'goodscents'},1
736,umami,{'goodscents'},1
737,urine,"{'dravnieks_1985', 'flavornet', 'goodscents'}",3
738,valerian root,{'goodscents'},1
739,vanilla,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
740,vanillin,{'arctander_1960'},1
741,varnish,{'dravnieks_1985'},1
742,vegetable,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'ifra_2019'}",5
743,verbena,"{'ifra_2019', 'goodscents'}",2
744,verdox,{'goodscents'},1
745,vetiver,"{'ifra_2019', 'goodscents'}",2
746,vinegar,"{'aromadb', 'goodscents'}",2
747,vinyl,"{'flavornet', 'goodscents'}",2
748,violet,"{'sigma_2014', 'leffingwell', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
749,violet leaf,{'goodscents'},1
750,walnut,"{'aromadb', 'sigma_2014', 'flavornet', 'goodscents'}",4
751,warm,"{'sigma_2014', 'leffingwell', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",6
752,wasabi,{'goodscents'},1
753,watercress,{'goodscents'},1
754,watermelon,"{'flavornet', 'ifra_2019', 'goodscents'}",3
755,watermelon rind,{'goodscents'},1
756,watery,"{'ifra_2019', 'goodscents'}",2
757,waxy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
758,weedy,{'goodscents'},1
759,wet,{'goodscents'},1
760,wet cloth,{'flavornet'},1
761,wet paper,{'dravnieks_1985'},1
762,"wet wool,wet dog",{'dravnieks_1985'},1
763,whiskey,"{'aromadb', 'sigma_2014', 'flavornet', 'goodscents'}",4
764,wild,{'goodscents'},1
765,winey,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet'}",6
766,wintergreen,"{'aromadb', 'flavornet', 'goodscents'}",3
767,woody,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
768,woody burnt wood,{'goodscents'},1
769,woody old wood,{'goodscents'},1
770,"woody, resinous",{'dravnieks_1985'},1
771,woody-lactone,{'goodscents'},1
772,wormwood,{'goodscents'},1
773,worty,{'goodscents'},1
774,yeasty,"{'dravnieks_1985', 'flavornet', 'ifra_2019', 'goodscents'}",4
775,ylang,"{'ifra_2019', 'goodscents'}",2
776,yogurt,{'goodscents'},1
777,zesty,{'goodscents'},1
